Date-Time,ICEBERG Liquid Level (Inch),ICEBERG LIFETIME (Sec),Cryostat Pressure (psi)
2021-02-28T02:30:00,60.15750885,0.000325155,14.62992764
2021-02-28T03:00:00,60.06027603,0.000347777,15.06432819
2021-02-28T03:30:00,60.14310455,0.000327937,15.18872452
2021-02-28T04:00:00,60.09448624,0.000318032,15.54019451
2021-02-28T04:30:00,60.12329483,0.000334587,16.19771957
2021-02-28T05:00:00,60.06927872,0.000344368,16.85129356
2021-02-28T05:30:00,60.19171906,0.000341902,16.80390549
2021-02-28T06:00:00,60.10528946,0.000369882,17.32321167
2021-02-28T06:30:00,60.09808731,0.000357294,17.49302101
2021-02-28T07:00:00,60.12149429,0.000365388,17.96691322
2021-02-28T07:30:00,60.10889053,0.000344566,17.99850655
2021-02-28T08:00:00,60.1268959,0.000378617,18.01825142
2021-02-28T08:30:00,60.0296669,0.000357236,18.03997231
2021-02-28T09:00:00,60.11069107,0.000366334,18.35787392
2021-02-28T09:30:00,60.13589859,0.000383578,18.10315704
2021-02-28T10:00:00,60.08008194,0.00037253,17.85239029
2021-02-28T10:30:00,60.16110992,0.000351461,18.40131378
2021-02-28T11:00:00,60.06927872,0.000349543,18.30850983
2021-02-28T11:30:00,60.07287979,0.000336405,18.19201088
2021-02-28T12:00:00,60.1268959,0.000336285,17.99258232
2021-02-28T12:30:00,60.11789322,0.000351993,17.8306694
2021-02-28T13:00:00,60.21872711,0.000328434,17.62729073
2021-02-28T13:30:00,60.06207657,0.000332795,17.18301773
2021-02-28T14:00:00,60.16110992,0.000359284,16.61237335
2021-02-28T14:30:00,60.17011261,0.000348368,16.23918343
2021-02-28T15:00:00,60.0926857,0.000348477,15.89561272
2021-02-28T15:30:00,60.21512604,0.000359373,15.3545866
2021-02-28T16:00:00,60.11789322,0.000340171,14.5805645
2021-02-28T16:30:00,60.24033356,0.000335647,14.03953838
2021-02-28T17:00:00,60.14850616,0.000349548,13.4412508
2021-02-28T17:30:00,60.25473785,0.000295061,13.20627975
2021-02-28T18:00:00,60.12869644,0.000310701,12.75805664
2021-02-28T18:30:00,60.24573517,0.000314575,12.4460783
2021-02-28T19:00:00,60.12869644,0.000310084,12.05511856
2021-02-28T19:30:00,60.26194,0.00030288,11.85766315
2021-02-28T20:00:00,60.11249161,0.000314621,11.45683002
2021-02-28T20:30:00,60.21872711,0.000333949,11.25147724
2021-02-28T21:00:00,60.14130402,0.000337874,10.87236404
2021-02-28T21:30:00,60.19712067,0.000344732,10.52879333
2021-02-28T22:00:00,60.19532013,0.000312496,10.31554222
2021-02-28T22:30:00,60.15750885,0.000303607,9.837701797
2021-02-28T23:00:00,60.24573517,0.000304838,9.610628128
2021-02-28T23:30:00,60.11609268,0.000306918,9.267057419
2021-03-01T00:00:00,60.16651154,0.000309979,9.045907974
2021-03-01T00:30:00,60.24033356,0.000312695,8.826732635
2021-03-01T01:00:00,60.06387711,0.000333944,8.601634979
2021-03-01T01:30:00,60.16110992,0.000303468,8.443671227
2021-03-01T02:00:00,60.2133255,0.000336127,8.291630745
2021-03-01T02:30:00,60.11249161,0.000323179,8.086277962
2021-03-01T03:00:00,60.12329483,0.000364793,7.997423172
2021-03-01T03:30:00,60.20072174,0.000310594,8.123794556
2021-03-01T04:00:00,60.09988785,0.000333178,8.250164986
2021-03-01T04:30:00,60.09988785,0.000319119,7.900670528
2021-03-01T05:00:00,60.17191315,0.000313601,8.032964706
2021-03-01T05:30:00,60.27634811,0.000320508,8.11984539
2021-03-01T06:00:00,60.11789322,0.000303798,7.953983307
2021-03-01T06:30:00,60.1268959,0.000351224,7.953983307
2021-03-01T07:00:00,60.21512604,0.000328431,8.131691933
2021-03-01T07:30:00,60.2133255,0.000344392,8.305452347
2021-03-01T08:00:00,60.11789322,0.000348556,7.979652405
2021-03-01T08:30:00,60.14130402,0.000360124,8.027041435
2021-03-01T09:00:00,60.22052765,0.000337368,7.993474007
2021-03-01T09:30:00,60.14670563,0.000368272,8.038888931
2021-03-01T10:00:00,60.08548355,0.000364608,7.930288315
2021-03-01T10:30:00,60.18271637,0.000332528,8.104048729
2021-03-01T11:00:00,60.14850616,0.000364877,8.305452347
2021-03-01T11:30:00,60.12329483,0.000372571,7.936212063
2021-03-01T12:00:00,60.18451691,0.00038795,8.056659698
2021-03-01T12:30:00,60.22052765,0.000382227,8.236343384
2021-03-01T13:30:00,60.20252228,0.000356472,8.058633804
2021-03-01T14:00:00,60.24033356,0.00034115,8.137616158
2021-03-01T14:30:00,60.12869644,0.000409115,7.957931995
2021-03-01T15:00:00,60.15750885,0.00036627,8.066532135
2021-03-01T15:30:00,60.18271637,1.29636E-05,8.228445053
2021-03-01T16:00:00,60.13049698,0.000357134,7.946084976
2021-03-01T16:30:00,60.17191315,0.000363935,8.036913872
2021-03-01T17:00:00,60.22232819,0.000155476,8.005321503
2021-03-01T17:30:00,60.13049698,0.000695701,7.920415878
2021-03-01T18:00:00,60.15210724,0.000295884,8.027041435
2021-03-01T18:30:00,60.23133087,0.000975379,7.989524841
2021-03-01T19:00:00,60.14130402,0.000336691,7.953983307
2021-03-01T19:30:00,60.13950348,0.00054296,8.025066376
2021-03-01T20:00:00,60.20072174,0.000446513,8.019143105
2021-03-01T20:30:00,60.0926857,0.000346628,7.969779491
2021-03-01T21:00:00,60.10348892,0.000423763,7.965830326
2021-03-01T21:30:00,60.18271637,0.00043984,8.044812202
2021-03-01T22:00:00,60.11609268,0.000420773,8.044812202
2021-03-01T22:30:00,60.18271637,0.000456543,7.946084976
2021-03-01T23:00:00,60.17011261,0.00043083,8.07245636
2021-03-01T23:30:00,60.17011261,0.00045658,8.163285255
2021-03-02T00:00:00,60.11249161,0.00047576,7.930288315
2021-03-02T00:30:00,60.164711,0.00046558,8.050735474
2021-03-02T01:00:00,60.15930939,0.000473025,8.242266655
2021-03-02T01:30:00,60.13950348,0.00045504,7.946084976
2021-03-02T02:00:00,60.15930939,0.000521158,8.046787262
2021-03-02T02:30:00,60.24933624,0.000489879,8.086277962
2021-03-02T03:00:00,60.13049698,0.000504737,7.938186646
2021-03-02T03:30:00,60.15210724,0.000466387,7.993474007
2021-03-02T04:00:00,60.22592926,0.000488463,8.017168999
2021-03-02T04:30:00,60.09808731,0.000455892,7.957931995
2021-03-02T05:00:00,60.1791153,0.000454507,8.025066376
2021-03-02T05:30:00,60.23133087,0.002193948,8.011244774
2021-03-02T06:00:00,60.09088516,0.000537215,7.957931995
2021-03-02T06:30:00,60.17191315,0.000458327,8.005321503
2021-03-02T07:00:00,60.19532013,0.000495164,8.042838097
2021-03-02T07:30:00,60.12869644,0.001421019,7.971754074
2021-03-02T08:00:00,60.17731476,0.000402958,7.999397755
2021-03-02T08:30:00,60.18991852,0.00040972,8.036913872
2021-03-02T09:00:00,60.16651154,0.000395198,7.993474007
2021-03-02T09:30:00,60.14850616,0.0005022,7.971754074
2021-03-02T10:00:00,60.21872711,0.000498174,8.076404572
2021-03-02T10:30:00,60.17191315,0.000499792,8.109972
2021-03-02T11:00:00,60.17191315,0.00052037,7.946084976
2021-03-02T11:30:00,60.19171906,0.000571027,8.092201233
2021-03-02T12:00:00,60.18451691,0.000463288,8.204751015
2021-03-02T12:30:00,60.14670563,0.000433067,7.918441296
2021-03-02T13:00:00,60.20972443,0.000463032,8.064558029
2021-03-02T13:30:00,60.22232819,0.000501586,8.262012482
2021-03-02T14:00:00,60.17011261,0.000474652,7.952008724
2021-03-02T14:30:00,60.15390778,0.000469329,8.044812202
2021-03-02T15:00:00,60.25473785,0.000501918,8.06258297
2021-03-02T15:30:00,60.13409805,0.000567037,7.952008724
2021-03-02T16:00:00,60.17191315,0.000501902,8.017168999
2021-03-02T16:30:00,60.16651154,0.000553779,8.036913872
2021-03-02T17:00:00,60.08728409,0.000473993,7.957931995
2021-03-02T17:30:00,60.14310455,0.000488508,8.013219833
2021-03-02T18:00:00,60.22232819,0.000539288,8.050735474
2021-03-02T18:30:00,60.10348892,0.000473208,7.969779491
2021-03-02T19:00:00,60.14310455,0.000444772,8.013219833
2021-03-02T19:30:00,60.22232819,0.000566482,8.044812202
2021-03-02T20:00:00,60.19532013,0.000517931,7.989524841
2021-03-02T20:30:00,60.15750885,0.000538857,7.983601093
2021-03-02T21:00:00,60.21872711,0.000540689,8.005321503
2021-03-02T21:30:00,60.13589859,0.000471564,8.084302902
2021-03-02T22:00:00,60.17551422,0.000538547,7.936212063
2021-03-02T22:30:00,60.20072174,0.000529464,8.084302902
2021-03-02T23:00:00,60.17011261,0.000517977,8.188954353
2021-03-02T23:30:00,60.15930939,0.000513529,7.936212063
2021-03-03T00:00:00,60.16651154,0.000537724,8.046787262
2021-03-03T00:30:00,60.164711,0.000521618,8.271884918
2021-03-03T01:00:00,60.10348892,0.000499163,7.969779491
2021-03-03T01:30:00,60.14850616,0.000602944,8.032964706
2021-03-03T02:00:00,60.25653839,0.000505117,8.07245636
2021-03-03T02:30:00,60.12329483,0.000591367,7.973728657
2021-03-03T03:00:00,60.22052765,0.000556061,8.009270668
2021-03-03T03:30:00,60.24933624,0.000504573,8.052710533
2021-03-03T04:00:00,60.11069107,0.00062039,7.991499424
2021-03-03T04:30:00,60.13589859,0.000586671,7.999397755
2021-03-03T05:00:00,60.20792389,0.000592552,8.046787262
2021-03-03T05:30:00,60.17011261,0.000604507,8.027041435
2021-03-03T06:00:00,60.19712067,0.000554294,7.944110394
2021-03-03T06:30:00,60.20612335,0.000556281,8.096150398
2021-03-03T07:00:00,60.14310455,0.000524765,8.185005188
2021-03-03T07:30:00,60.13589859,0.000571307,7.912517548
2021-03-03T08:00:00,60.17551422,0.000511407,8.0704813
